"Time [min]","Event Name","Chamber","Event Text","1A: O2 concentration [µM]","1A: O2 flux per mass [pmol/(s*mg)]","1B: O2 concentration [µM]","1B: O2 flux per mass [pmol/(s*mg)]","1A: Amp [µM]","1A: Amp flux per mass [pmol/(s*mg)]","1B: Amp [nM]","1B: Amp flux per mass [fmol/(s*mg)]"
103.17,"","","",148.2357,120.2720,158.1487,88.2891,2765.2104,332.8842,1207.1226,-69.2546
103.20,"","","",148.1064,120.4529,158.0971,88.1303,2767.5923,335.7539,1208.6116,-69.2546
103.23,"","","",147.9988,120.6337,157.9653,88.1303,2763.3738,315.6660,1207.1572,-69.2546
103.27,"","","",147.8523,120.8146,157.7803,88.4479,2765.7413,309.9266,1206.9495,-69.2546
103.30,"","","",147.8089,120.6337,157.6866,88.6067,2768.0801,312.7963,1207.5728,-69.2546
103.33,"Pi-0.5mM","Left","",147.5710,120.8146,157.6025,88.9243,2756.6874,272.6207,1207.5382,-62.3291
103.37,"","","",147.5231,120.8146,157.4961,89.2419,2736.1261,152.0936,1208.6809,-55.4037
103.40,"","","",147.4707,120.6337,157.4159,89.4007,2738.1205,51.6544,1208.9232,-55.4037
103.43,"","","",147.4083,120.2720,157.3619,89.5595,2734.5047,-63.1332,1207.6767,-55.4037
103.47,"","","",147.2636,119.7294,157.3111,89.5595,2738.6084,-160.7027,1206.5340,-48.4782
103.50,"","","",147.1053,119.5486,157.2190,89.7183,2734.5621,-261.1419,1206.4647,-48.4782
103.53,"","","",146.9263,119.5486,157.1610,89.5595,2735.1791,-358.7114,1205.5298,-55.4037
103.57,"","","",146.7608,119.7294,157.0546,89.5595,2739.2541,-436.1930,1207.8498,-55.4037
103.60,"","","",146.6025,120.0911,156.9403,89.4007,2737.1018,-513.6747,1206.9495,-55.4037
103.63,"","","",146.4398,120.4529,156.8530,89.5595,2736.5709,-591.1564,1207.1226,-55.4037
103.67,"","","",146.2996,120.9954,156.7624,89.7183,2736.3126,-651.4199,1207.5728,-48.4782
103.70,"","","",146.1006,121.5380,156.7283,89.5595,2741.5355,-700.2046,1208.5077,-41.5528
103.73,"","","",145.9071,122.4423,156.6592,89.2419,2736.3700,-757.5984,1207.6074,-41.5528
103.77,"","","",145.7398,123.5275,156.5425,89.0831,2737.1161,-817.8620,1209.3734,-27.7018
103.80,"","","",145.6024,124.6126,156.4298,89.0831,2739.8280,-858.0376,1209.3734,-27.7018
103.83,"","","",145.4523,126.0595,156.3416,89.2419,2740.6172,-889.6042,1209.2003,-13.8509
103.87,"","","",145.3103,127.3255,156.2535,89.0831,2742.9990,-892.4739,1208.3346,-6.9255
103.90,"","","",145.1403,128.7724,156.1773,89.0831,2738.3645,-921.1708,1208.6116,0.0000
103.93,"","","",144.9431,130.4002,156.0479,88.9243,2738.8523,-932.6496,1206.4993,0.0000
103.97,"","","",144.7677,132.0279,155.9589,89.0831,2741.5642,-938.3890,1207.5728,13.8509
104.00,"","","",144.5986,133.8365,155.8843,88.9243,2740.9041,-941.2587,1207.4689,13.8509
104.03,"","","",144.4376,135.6451,155.7938,88.9243,2744.4195,-915.4315,1207.7459,13.8509
104.07,"","","",144.2821,137.2729,155.7009,88.7655,2741.6646,-903.9527,1207.6074,20.7764
104.10,"","","",144.1202,138.7197,155.5874,88.6067,2743.2429,-875.2558,1208.4038,27.7018
104.13,"","","",143.9430,140.3475,155.4532,88.9243,2740.6889,-860.9073,1208.1614,34.6273
104.17,"","","",143.7377,142.1561,155.3722,89.0831,2741.8655,-835.0801,1207.2611,27.7018
104.20,"","","",143.5659,143.9647,155.3063,89.2419,2741.9803,-809.2529,1207.1572,27.7018
104.23,"","","",143.4257,145.5924,155.2229,89.4007,2742.0090,-771.9469,1207.4689,27.7018
104.27,"","","",143.2675,147.2202,155.1340,89.5595,2743.5299,-720.2925,1207.7113,20.7764
104.30,"","","",143.0875,149.0288,155.0483,89.7183,2744.8930,-657.1593,1207.5382,20.7764
104.33,"","","",142.9537,150.6565,154.9824,89.7183,2743.7451,-596.8957,1208.9925,20.7764
104.37,"","","",142.7999,152.2842,154.8855,89.7183,2743.9030,-525.1535,1208.8540,20.7764
104.40,"","","",142.6137,154.0929,154.7855,89.7183,2745.5961,-453.4112,1209.6504,20.7764
104.43,"","","",142.4310,155.7206,154.6910,89.8771,2746.8301,-367.3205,1207.7459,20.7764
104.47,"","","",142.2619,157.3483,154.5774,89.8771,2744.8500,-278.3600,1208.2307,20.7764
104.50,"","","",142.1054,158.7952,154.4798,89.8771,2747.0453,-186.5299,1207.7113,20.7764
104.53,"","","",141.9680,160.2421,154.4028,89.7183,2748.9536,-74.6120,1208.0576,20.7764
104.57,"","","",141.7916,161.5081,154.3297,89.5595,2747.3466,20.0878,1207.7459,20.7764
104.60,"","","",141.6036,162.7741,154.2797,89.7183,2743.9460,111.9180,1208.4385,20.7764
104.63,"","","",141.4543,163.6784,154.1431,89.8771,2747.2031,229.5753,1209.0618,20.7764
104.67,"","","",141.2916,164.9445,154.0272,90.3534,2747.3753,309.9266,1209.4427,27.7018
104.70,"","","",141.1198,165.6679,153.9343,90.8298,2747.8344,312.7963,1209.6850,34.6273
104.73,"","","",140.9371,166.2105,153.8208,91.3062,2750.1589,330.0145,1209.4080,41.5528
104.77,"","","",140.7806,166.3913,153.7073,91.7826,2753.1864,341.4932,1208.8540,41.5528
104.80,"","","",140.6007,166.3913,153.6461,91.9414,2750.4315,355.8417,1208.8194,41.5528
104.83,"","","",140.4415,166.3913,153.5874,91.9414,2749.7715,350.1023,1209.1656,41.5528
104.87,"","","",140.2996,166.3913,153.5270,91.7826,2750.4028,347.2326,1209.9621,34.6273
104.90,"","","",140.1241,166.3913,153.4159,91.7826,2750.5893,355.8417,1208.5770,34.6273
104.93,"","","",139.9650,166.2105,153.2730,92.1002,2749.5419,352.9720,1209.6850,34.6273
104.97,"","","",139.7959,166.2105,153.1864,92.2590,2748.9680,341.4932,1209.9967,34.6273
105.00,"","","",139.6512,166.0296,153.0959,92.4178,2749.0828,327.1448,1210.2391,41.5528
105.03,"","","",139.4821,165.8488,153.0840,92.1002,2750.1445,335.7539,1210.4815,48.4782
105.07,"","","",139.3292,165.8488,153.0141,91.6238,2750.7185,321.4054,1209.9621,48.4782
105.10,"","","",139.1683,165.8488,152.8831,91.4650,2752.3686,318.5357,1209.4427,55.4037
105.13,"","","",138.9937,165.6679,152.7616,91.4650,2752.1677,318.5357,1209.1656,62.3291
105.17,"","","",138.8029,165.6679,152.6719,91.3062,2754.6643,330.0145,1209.8236,69.2546
105.20,"","","",138.6374,165.4870,152.5639,91.3062,2752.7560,338.6235,1209.2003,69.2546
105.23,"","","",138.4539,165.3062,152.5004,91.1474,2755.1809,338.6235,1210.6546,76.1800
105.27,"","","",138.2929,165.3062,152.3932,91.1474,2753.9899,332.8842,1211.4857,76.1800
105.30,"","","",138.1518,165.3062,152.2297,91.4650,2751.3785,327.1448,1210.5507,76.1800
105.33,"","","",137.9918,165.3062,152.1304,91.6238,2753.2008,321.4054,1209.2695,76.1800
105.37,"","","",137.8462,165.1253,152.0598,91.7826,2757.9071,344.3629,1209.5119,69.2546
105.40,"","","",137.6816,164.9445,151.9939,91.7826,2758.9832,355.8417,1208.5423,62.3291
105.43,"","","",137.5315,164.5827,151.9169,91.9414,2758.1223,370.1902,1208.8194,62.3291
105.47,"","","",137.3470,164.5827,151.7803,92.2590,2757.9501,370.1902,1208.3346,55.4037
105.50,"","","",137.1246,164.7636,151.6707,92.7354,2753.3586,355.8417,1209.3734,48.4782
105.53,"","","",136.9446,165.1253,151.6231,92.7354,2755.8409,347.2326,1208.8540,41.5528
105.57,"","","",136.7882,165.3062,151.5532,92.8941,2755.0661,332.8842,1209.8236,34.6273
105.60,"","","",136.6398,165.3062,151.4667,92.8941,2761.1498,347.2326,1209.6850,34.6273
105.63,"","","",136.4879,165.3062,151.3968,92.7354,2757.2183,347.2326,1209.5812,27.7018
105.67,"","","",136.3279,165.3062,151.3095,92.4178,2754.3773,330.0145,1210.2045,34.6273
105.70,"","","",136.1597,165.3062,151.1459,92.5766,2757.3188,321.4054,1208.8194,27.7018
105.73,"","","",135.9779,165.3062,151.0197,92.7354,2757.0749,315.6660,1209.2003,27.7018
105.77,"","","",135.8169,165.4870,150.9728,92.7354,2759.3132,321.4054,1208.4385,20.7764
105.80,"","","",135.6325,165.6679,150.8625,92.8941,2760.6763,324.2751,1207.7805,6.9255
105.83,"Pi-0.5mM","Right","",135.4796,165.6679,150.8450,92.8941,2760.6763,330.0145,1206.0838,-6.9255
105.87,"","","",135.3286,165.6679,150.7513,92.7354,2761.2789,344.3629,1207.9191,-13.8509
105.90,"","","",135.1378,165.6679,150.7648,92.1002,2760.8054,347.2326,1210.3083,-20.7764
105.93,"","","",134.9361,166.0296,150.7164,91.3062,2760.2459,332.8842,1211.9358,-13.8509
105.97,"","","",134.7698,166.2105,150.6068,90.6710,2759.5284,324.2751,1212.4552,0.0000
106.00,"","","",134.6477,166.2105,150.4830,90.1947,2758.6532,312.7963,1212.3167,6.9255
106.03,"","","",134.5156,166.2105,150.3821,89.8771,2759.9876,304.1873,1212.4552,20.7764
106.07,"","","",134.3456,166.2105,150.2972,89.7183,2760.4180,304.1873,1212.9746,27.7018
106.10,"","","",134.1648,166.2105,150.1717,89.7183,2760.8915,318.5357,1213.7711,41.5528
106.13,"","","",134.0038,166.2105,150.0399,89.7183,2761.6807,321.4054,1213.4940,48.4782
106.17,"","","",133.8537,166.2105,149.9526,89.5595,2762.8716,321.4054,1214.1173,62.3291
106.20,"","","",133.6837,166.2105,149.8811,89.4007,2761.3937,318.5357,1214.1173,76.1800
106.23,"","","",133.5110,166.2105,149.7438,89.4007,2760.5472,312.7963,1213.9442,83.1055
106.27,"","","",133.3536,166.2105,149.6159,89.5595,2761.7238,304.1873,1213.5633,96.9564
106.30,"","","",133.1800,166.2105,149.5223,89.8771,2763.1586,295.5782,1213.7018,103.8819
106.33,"","","",133.0163,166.0296,149.4317,90.1947,2762.1542,281.2297,1213.1478,110.8073
106.37,"","","",132.8400,166.0296,149.3246,90.1947,2760.8628,264.0116,1212.4552,117.7328
106.40,"","","",132.6790,165.8488,149.1951,90.3534,2763.2303,255.4025,1215.4678,131.5837
106.43,"","","",132.4900,165.8488,149.1189,90.3534,2759.7293,238.1844,1215.9872,145.4346
106.47,"","","",132.3010,165.8488,149.0213,90.6710,2760.1311,218.0965,1215.0869,159.2856
106.50,"","","",132.1211,166.0296,148.9315,90.8298,2762.5990,218.0965,1215.7448,166.2110
106.53,"","","",131.9375,166.3913,148.8037,91.3062,2759.7724,198.0087,1217.3377,186.9874
106.57,"","","",131.7910,166.5722,148.6783,91.6238,2760.2746,189.3996,1218.9998,207.7638
106.60,"","","",131.6336,166.7531,148.5814,92.1002,2760.8628,175.0512,1217.9956,228.5401
106.63,"","","",131.4835,166.7531,148.4655,92.8941,2759.1410,143.4846,1219.5538,256.2420
106.67,"","","",131.3325,166.7531,148.3607,93.8469,2761.4655,126.2664,1216.8529,263.1674
106.70,"","","",131.1634,166.5722,148.2305,94.6409,2765.0095,140.6149,1217.9956,270.0929
106.73,"","","",130.9970,166.5722,148.1201,95.4348,2763.1012,146.3542,1219.1383,283.9438
106.77,"","","",130.8288,166.2105,148.0614,96.0700,2761.9533,146.3542,1218.9998,290.8693
106.80,"","","",130.6525,166.2105,147.9566,96.8640,2762.7425,149.2239,1219.4153,297.7947
106.83,"","","",130.4987,166.2105,147.7882,97.9755,2765.1817,140.6149,1220.2810,304.7202
106.87,"","","",130.3495,166.2105,147.6461,99.0871,2764.9665,140.6149,1220.0386,311.6456
106.90,"","","",130.1958,166.2105,147.5723,100.0398,2765.0095,132.0058,1220.2810,318.5711
106.93,"","","",130.0592,166.0296,147.4691,100.8338,2764.9091,149.2239,1221.9085,332.4220
106.97,"","","",129.8883,165.8488,147.3722,101.6278,2767.2192,154.9633,1219.7270,332.4220
107.00,"","","",129.7183,165.6679,147.2579,102.2630,2763.8473,137.7452,1217.6493,332.4220
107.03,"","","",129.5031,165.6679,147.1142,103.3745,2766.4731,140.6149,1219.2768,325.4966
107.07,"Pi-1mM","Left","",129.3675,165.4870,146.9919,104.6449,2765.0095,134.8755,1219.4846,318.5711
107.10,"","","",129.2562,165.3062,146.9022,105.7564,2740.5024,45.9151,1220.5234,311.6456
107.13,"","","",129.1269,164.9445,146.7807,106.8680,2741.7937,-31.5666,1222.7395,304.7202
107.17,"","","",128.9985,164.4019,146.6854,107.6619,2741.1337,-106.1786,1222.5664,290.8693
107.20,"","","",128.8357,163.8593,146.6259,108.2971,2744.3621,-160.7027,1221.2159,277.0184
107.23,"","","",128.6458,163.4976,146.5433,108.2971,2740.9328,-229.5753,1221.0428,270.0929
107.27,"","","",128.4541,163.4976,146.4147,108.2971,2742.3964,-289.8388,1222.1855,270.0929
107.30,"","","",128.2814,163.4976,146.2884,108.2971,2743.8886,-344.3629,1222.2894,270.0929
107.33,"","","",128.1240,163.3167,146.1773,108.4559,2739.6558,-416.1052,1222.6010,263.1674
107.37,"","","",127.9477,162.9550,146.0645,108.4559,2743.9317,-462.0203,1222.8780,263.1674
107.40,"","","",127.7578,162.9550,145.9669,108.4559,2739.7993,-516.5444,1223.0512,263.1674
107.43,"","","",127.5679,162.9550,145.8478,108.4559,2743.2716,-556.7201,1224.0554,270.0929
107.47,"","","",127.3644,163.1359,145.7573,108.6147,2743.5156,-588.2867,1224.3670,270.0929
107.50,"","","",127.1402,163.3167,145.6572,108.6147,2743.6017,-611.2442,1224.9903,277.0184
107.53,"","","",126.9665,163.6784,145.5786,108.2971,2742.1812,-639.9411,1224.9903,277.0184
107.57,"","","",126.8092,164.0402,145.4500,108.2971,2743.4151,-665.7683,1225.5097,277.0184
107.60,"","","",126.6175,164.4019,145.3095,108.4559,2742.8842,-685.8562,1223.9515,270.0929
107.63,"","","",126.4430,164.7636,145.1880,108.4559,2742.2672,-697.3349,1224.9903,263.1674
107.67,"","","",126.2666,165.1253,145.1173,108.4559,2743.8312,-703.0743,1225.3020,256.2420
107.70,"","","",126.0695,165.6679,145.0149,108.2971,2744.5486,-708.8137,1225.4058,242.3911
107.73,"","","",125.8750,166.2105,144.8641,108.4559,2745.0365,-700.2046,1225.7867,242.3911
107.77,"","","",125.7032,166.9339,144.7116,108.6147,2743.4725,-708.8137,1226.2715,242.3911
107.80,"","","",125.5287,167.6574,144.5981,108.7735,2745.1226,-705.9440,1225.9599,235.4656
107.83,"","","",125.3632,168.5617,144.5290,108.7735,2744.4339,-694.4652,1225.5790,228.5401
107.87,"","","",125.1751,169.4660,144.3837,108.7735,2745.1800,-685.8562,1226.0291,228.5401
107.90,"","","",124.9780,170.3703,144.2781,108.9323,2743.7738,-677.2471,1225.9252,228.5401
107.93,"","","",124.7836,171.2746,144.1630,109.0911,2745.4813,-657.1593,1226.0638,228.5401
107.97,"","","",124.6081,172.1789,144.0756,109.0911,2744.8213,-645.6805,1226.5139,228.5401
108.00,"","","",124.4137,173.0832,143.9637,109.2499,2743.4151,-625.5927,1226.8602,221.6147
108.03,"","","",124.2012,174.1683,143.8589,109.2499,2742.7694,-591.1564,1227.8990,221.6147
108.07,"","","",123.9932,175.2535,143.7588,109.4087,2743.5873,-556.7201,1226.4447,221.6147
108.10,"","","",123.8178,176.3386,143.6358,109.2499,2748.7671,-505.0656,1226.9987,214.6892
108.13,"","","",123.6378,177.6047,143.4897,109.4087,2744.5056,-462.0203,1226.0291,207.7638
108.17,"","","",123.4470,178.6898,143.3627,109.5675,2742.7981,-413.2355,1225.9599,207.7638
108.20,"","","",123.2616,179.7750,143.2245,110.2026,2743.8886,-358.7114,1227.4142,207.7638
108.23,"","","",123.0735,180.6793,143.1372,110.5202,2748.2506,-281.2297,1227.9683,207.7638
108.27,"","","",122.8818,181.5836,143.0657,110.6790,2744.9217,-215.2268,1226.5832,207.7638
108.30,"","","",122.6946,182.4879,142.9220,110.8378,2745.2948,-134.8755,1226.9294,200.8383
108.33,"","","",122.5373,183.2113,142.8212,110.9966,2745.8113,-60.2635,1227.1372,180.0619
108.37,"","","",122.3745,183.9348,142.7624,111.1554,2745.0652,25.8272,1225.9945,166.2110
108.40,"","","",122.1801,184.6582,142.6314,111.3142,2743.8599,103.3089,1228.0721,159.2856
108.43,"","","",121.9730,185.2008,142.5171,111.6318,2747.6479,106.1786,1229.0417,152.3601
108.47,"","","",121.7686,185.7434,142.4107,111.7906,2746.0409,106.1786,1229.3533,159.2856
108.50,"","","",121.5968,185.9242,142.3043,111.9494,2745.2661,97.5695,1228.3492,159.2856
108.53,"","","",121.3906,186.1051,142.1781,111.9494,2748.0066,114.7876,1227.7605,152.3601
108.57,"","","",121.1998,186.2860,142.0502,111.9494,2744.4052,103.3089,1229.0417,145.4346
108.60,"","","",121.0379,186.4668,141.9534,111.9494,2745.8974,100.4392,1228.6608,138.5092
108.63,"","","",120.8697,186.4668,141.8700,111.9494,2747.1888,109.0483,1227.9683,131.5837
108.67,"","","",120.7097,186.2860,141.7628,111.7906,2745.9978,97.5695,1227.7605,124.6583
108.70,"","","",120.5144,186.1051,141.6548,111.7906,2744.2617,91.8301,1229.5265,117.7328
108.73,"","","",120.3100,185.9242,141.5159,111.7906,2746.5000,80.3514,1229.6304,117.7328
108.77,"","","",120.1065,185.9242,141.3952,111.7906,2748.7814,91.8301,1228.6262,110.8073
108.80,"","","",119.9311,185.9242,141.2809,111.7906,2746.5431,91.8301,1228.4530,110.8073
108.83,"","","",119.7566,186.1051,141.1523,111.7906,2743.9317,83.2210,1228.2799,110.8073
108.87,"","","",119.5594,186.2860,141.0117,111.7906,2745.2661,71.7423,1228.1068,103.8819
108.90,"","","",119.3596,186.2860,140.9212,111.6318,2744.2617,63.1332,1228.3492,103.8819
108.93,"","","",119.1787,186.2860,140.8339,111.6318,2745.6391,57.3938,1228.6608,96.9564
108.97,"","","",118.9997,186.2860,140.7005,111.7906,2745.2517,45.9151,1228.0721,90.0310
109.00,"","","",118.8107,186.2860,140.5528,111.7906,2745.8400,43.0454,1228.1068,83.1055
109.03,"","","",118.6117,186.4668,140.3861,111.9494,2746.3279,43.0454,1227.8990,76.1800
109.07,"","","",118.4363,186.4668,140.3893,111.7906,2744.7208,40.1757,1226.4793,69.2546
109.10,"Pi-1mM","Right","",118.2672,186.2860,140.3853,111.4730,2747.3322,40.1757,1227.4835,62.3291
109.13,"","","",118.1062,186.1051,140.3130,110.9966,2744.9648,37.3060,1227.1718,55.4037
109.17,"","","",117.9163,185.9242,140.2416,110.2026,2746.1126,37.3060,1229.7689,55.4037
109.20,"","","",117.7002,185.7434,140.1654,109.5675,2745.5674,34.4363,1229.8035,55.4037
109.23,"","","",117.4895,185.7434,140.0598,108.7735,2743.8456,22.9575,1229.7342,55.4037
109.27,"","","",117.2950,185.7434,139.9105,108.2971,2746.3996,25.8272,1229.4919,55.4037
109.30,"","","",117.1160,185.7434,139.7326,107.9795,2747.1888,28.6969,1230.9116,62.3291
109.33,"","","",116.9189,185.7434,139.5858,107.8207,2747.2175,28.6969,1231.3964,69.2546
109.37,"","","",116.7317,185.9242,139.5016,107.5031,2746.1844,17.2181,1231.8811,83.1055
109.40,"","","",116.5553,186.1051,139.4095,107.1856,2748.7958,22.9575,1232.8507,90.0310
109.43,"","","",116.3654,186.1051,139.2896,106.8680,2747.3609,37.3060,1229.6650,90.0310
109.47,"","","",116.1891,186.2860,139.1642,106.8680,2748.4945,43.0454,1229.7342,83.1055
109.50,"","","",116.0218,186.2860,139.0538,106.8680,2747.7627,37.3060,1230.7038,83.1055
109.53,"","","",115.8545,186.2860,138.9426,107.0268,2747.7053,34.4363,1231.9850,90.0310
109.57,"","","",115.6601,186.2860,138.8291,107.0268,2750.3167,57.3938,1231.6734,96.9564
109.60,"","","",115.4620,186.2860,138.6735,107.1856,2746.5718,54.5241,1233.1970,103.8819
109.63,"","","",115.2477,186.4668,138.5330,107.5031,2748.3079,60.2635,1233.0585,110.8073
109.67,"","","",115.0379,186.6477,138.3821,107.9795,2748.8819,66.0029,1234.5821,117.7328
109.70,"","","",114.8670,186.6477,138.2575,108.2971,2749.3267,71.7423,1234.8937,124.6583
109.73,"","","",114.6970,186.6477,138.1701,108.6147,2746.4713,63.1332,1234.1665,138.5092
109.77,"","","",114.5143,186.6477,138.0732,108.9323,2747.2175,68.8726,1234.3397,152.3601
109.80,"","","",114.3136,186.8285,137.9653,109.2499,2747.0166,68.8726,1235.3092,166.2110
109.83,"","","",114.1155,187.0094,137.8549,109.4087,2747.7627,66.0029,1235.4824,180.0619
109.87,"","","",113.9500,187.0094,137.7303,109.7262,2747.2892,74.6120,1235.5516,193.9128
109.90,"","","",113.7746,187.1903,137.6223,110.0438,2748.5088,74.6120,1236.0364,207.7638
109.93,"","","",113.6019,187.1903,137.5095,110.3614,2748.1932,74.6120,1235.5516,214.6892
109.97,"","","",113.4183,187.0094,137.3555,110.8378,2747.4757,80.3514,1235.1707,221.6147
110.00,"","","",113.2329,186.8285,137.1943,111.3142,2751.3068,91.8301,1236.1057,228.5401
110.03,"","","",113.0584,186.6477,137.1078,111.7906,2748.8101,88.9604,1237.5254,242.3911
110.07,"","","",112.8604,186.4668,136.9879,112.2669,2744.4339,77.4817,1237.2137,256.2420
110.10,"","","",112.6415,186.6477,136.8497,112.9021,2744.9074,77.4817,1237.4561,270.0929
110.13,"","","",112.4498,186.6477,136.7497,113.5373,2746.1413,74.6120,1237.5946,277.0184
110.17,"","","",112.2843,186.4668,136.6378,114.1725,2745.5243,57.3938,1238.2872,283.9438
110.20,"","","",112.0971,186.4668,136.4766,115.1252,2744.1038,40.1757,1238.3564,290.8693
110.23,"","","",111.9045,186.4668,136.3757,115.9192,2745.9978,25.8272,1238.0794,297.7947
110.27,"","","",111.7182,186.6477,136.2543,116.7132,2746.4139,20.0878,1238.8066,304.7202
110.30,"","","",111.5301,186.6477,136.1185,117.5071,2743.8312,2.8697,1239.1875,304.7202
110.33,"","","",111.3456,186.4668,136.0145,118.4599,2746.2418,-2.8697,1239.7762,311.6456
110.37,"","","",111.1467,186.6477,135.9160,119.5714,2745.0078,-14.3485,1240.2609,311.6456
110.40,"","","",110.9523,186.6477,135.7803,120.3654,2747.8057,-17.2181,1241.2998,311.6456
110.43,"","","",110.7524,186.8285,135.6326,120.8418,2745.6535,-22.9575,1240.5726,304.7202
110.47,"","","",110.5544,186.8285,135.5095,121.1594,2745.2661,-34.4363,1240.2609,297.7947
110.50,"","","",110.3744,186.6477,135.4095,121.1594,2746.2992,-40.1757,1240.7804,297.7947
110.53,"","","",110.1918,186.6477,135.3055,121.0006,2747.2749,-45.9151,1241.1613,297.7947
110.57,"","","",109.9838,187.0094,135.1578,120.8418,2746.5861,-57.3938,1241.4729,297.7947
110.60,"","","",109.8273,187.0094,135.0292,120.8418,2744.8787,-68.8726,1240.6765,297.7947
110.63,"","","",109.6736,187.0094,134.9244,120.8418,2729.2388,-134.8755,1240.5380,290.8693
110.67,"","","",109.5361,186.8285,134.8172,121.0006,2751.5077,-111.9180,1241.1266,290.8693
110.70,"","","",109.7179,185.3817,134.6655,121.1594,3667.7426,3254.2297,1242.3040,290.8693
110.73,"","","",110.4314,180.6793,134.5250,121.3182,3705.2925,6597.4198,1243.8622,304.7202
110.77,"","","",111.4207,171.8171,134.4401,121.3182,3423.2449,8723.8609,1242.9965,297.7947
110.80,"","","",112.7880,157.7101,134.3202,121.3182,3193.5405,9886.0858,1242.4771,283.9438
110.83,"","","",114.3850,137.8154,134.2114,121.1594,3095.9567,10606.3783,1244.0007,283.9438
110.87,"","","",116.1538,111.9524,134.0391,121.1594,2889.9846,10505.9391,1245.0049,283.9438
110.90,"","","",118.0094,79.9402,133.9002,121.3182,2784.0930,10000.8735,1245.4204,283.9438
110.93,"","","",119.8180,42.5021,133.7954,121.3182,2750.3454,9352.3233,1245.1088,283.9438
110.97,"","","",121.6194,0.1809,133.6628,121.6358,2799.4028,8890.3030,1245.7321,283.9438
111.00,"","","",123.4090,-46.8428,133.5143,122.1121,2791.7694,8393.8465,1245.6282,290.8693
111.03,"","","",125.1760,-98.0262,133.4119,122.4297,2750.3454,7736.6872,1247.6019,304.7202
111.07,"","","",126.8915,-152.8268,133.3182,122.5885,2768.1662,7136.9218,1247.1171,304.7202
111.10,"","","",128.5979,-210.8829,133.1578,122.7473,2761.0350,6505.5897,1246.9786,304.7202
111.13,"","","",130.2772,-271.6519,133.0427,122.9061,2768.9841,5902.9546,1247.9482,311.6456
111.17,"","","",131.8570,-334.4104,132.9331,122.9061,2759.8011,5265.8832,1247.1518,318.5711
111.20,"","","",133.4133,-398.9775,132.8569,122.7473,2742.9703,4562.8088,1247.5673,318.5711
111.23,"","","",134.9018,-464.8106,132.7108,122.7473,2752.8277,3899.9102,1247.4288,318.5711
111.27,"","","",136.3170,-531.0054,132.5901,122.5885,2773.2599,3308.7538,1243.0311,297.7947
111.30,"","","",137.6861,-597.2002,132.4424,122.5885,2734.6769,2571.2432,1249.1602,297.7947
111.33,"","","",139.0435,-663.2142,132.2956,122.9061,2744.4626,1888.2567,1247.7751,290.8693
111.37,"","","",140.3556,-728.5047,132.1773,123.0649,2766.1574,1274.1428,1248.5022,297.7947
111.40,"","","",141.6099,-792.5292,132.0526,123.0649,2770.8494,657.1593,1249.1948,297.7947
111.43,"","","",142.8135,-854.5642,131.9367,123.2237,2755.1091,-22.9575,1248.1906,290.8693
111.47,"","","",143.9520,-914.4289,131.8168,123.3825,2761.6951,-671.5077,1246.5631,283.9438
111.50,"","","",145.0923,-971.9425,131.7128,123.2237,2774.0634,-1282.7519,1224.7825,193.9128
111.53,"","","",146.2092,-1026.7431,131.5984,123.3825,2742.6547,-2020.2625,1228.6954,117.7328
111.57,"","","",147.2590,-1078.1074,131.4651,123.3825,2766.9896,-2660.2036,1229.0763,48.4782
111.60,"","","",148.2854,-1126.0353,131.3436,123.3825,2764.3208,-3311.6235,1230.1498,-13.8509
111.63,"","","",149.2765,-1169.9843,131.1983,123.5413,2750.8189,-4026.1766,1232.2620,-62.3291
111.67,"","","",150.2668,-1209.5927,131.0982,123.5413,2770.5767,-4660.3783,1233.1277,-110.8073
111.70,"","","",151.2054,-1244.6796,130.9736,123.3825,2767.2766,-5317.5376,1232.6083,-152.3601
111.73,"","","",152.0627,-1274.7024,130.8505,123.3825,2765.1817,-5974.6969,1233.4740,-186.9874
111.77,"","","",152.9209,-1299.2993,130.6933,123.5413,2746.1270,-6712.2075,1233.4047,-221.6147
111.80,"","","",153.7953,-1318.4705,130.5734,123.7001,2789.9185,-7291.8851,1235.4477,-256.2420
111.83,"","","",154.6562,-1331.8542,130.4972,123.5413,2752.3542,-8015.0472,1236.2095,-277.0184
111.87,"","","",155.4457,-1339.2694,130.4138,123.2237,2768.3671,-8675.0762,1237.9755,-290.8693
111.90,"","","",156.1926,-1339.9929,130.2979,122.9061,2761.1211,-9366.6717,1238.1487,-304.7202
111.93,"","","",156.9315,-1334.2053,130.1479,122.7473,2771.2368,-10032.4401,1237.3869,-318.5711
111.97,"","","",157.6468,-1321.7260,130.0486,122.5885,2762.2116,-10795.7779,1237.2137,-339.3475
112.00,"","","",158.3168,-1302.0122,129.9097,122.2709,2762.9003,-11478.7644,1237.5600,-353.1984
112.03,"","","",158.9544,-1276.3301,129.7755,122.1121,2731.9507,-8752.5578,1237.7678,-360.1239
112.07,"","","",159.6091,-1246.4882,129.6437,122.1121,2766.4444,-5578.6795,1238.1833,-360.1239
112.10,"","","",160.2439,-1213.3908,129.5389,121.9533,2759.0406,-3340.3204,1238.2872,-360.1239
112.13,"","","",160.8561,-1178.8465,129.4023,121.7945,2774.1065,-1807.9054,1238.4257,-360.1239
