"Time [min]","Event Name","Chamber","Event Text","1A: O2 concentration [µM]","1A: O2 flux per mass [pmol/(s*mg)]","1B: O2 concentration [µM]","1B: O2 flux per mass [pmol/(s*mg)]","1A: Amp [µM]","1A: Amp flux per mass [pmol/(s*mg)]","1B: Amp [nM]","1B: Amp flux per mass [fmol/(s*mg)]"
81.13,"","","",187.2943,5.9684,186.2321,10.3216,4360.7730,459.1506,1735.3966,-360.1239
81.17,"","","",187.2653,6.5110,186.2536,10.1628,4357.8172,312.7963,1735.3966,-346.2729
81.20,"","","",187.3015,6.8727,186.3020,10.0040,4362.3514,189.3996,1735.0503,-332.4220
81.23,"","","",187.3042,7.0535,186.2925,9.8452,4358.9364,48.7847,1735.1196,-318.5711
81.27,"","","",187.2924,7.2344,186.2710,9.6864,4357.1859,-103.3089,1736.1930,-304.7202
81.30,"","","",187.2463,7.5961,186.3163,9.5276,4363.6858,-232.4450,1735.5351,-290.8693
81.33,"","","",187.2020,7.9578,186.2758,9.2100,4361.1604,-396.0174,1734.6348,-277.0184
81.37,"","","",187.2192,8.1387,186.2551,9.0512,4358.2477,-513.6747,1733.9423,-277.0184
81.40,"","","",187.2165,8.3196,186.2432,8.8924,4359.7256,-568.1988,1733.0766,-270.0929
81.43,"","","",187.1821,8.6813,186.2575,8.7336,4361.2322,-591.1564,1730.9990,-270.0929
81.47,"","","",187.1631,9.2239,186.2837,8.4161,4360.0269,-631.3320,1733.2151,-256.2420
81.50,"","","",187.1450,9.5856,186.2115,8.4161,4357.7312,-694.4652,1731.5530,-249.3165
81.53,"","","",187.1559,9.9473,186.2162,8.5748,4360.3713,-743.2500,1730.5834,-256.2420
81.57,"","","",187.1740,10.1282,186.2202,8.7336,4359.7256,-792.0347,1731.5530,-249.3165
81.60,"","","",187.1324,10.6707,186.2186,8.7336,4358.6925,-840.8195,1729.8909,-256.2420
81.63,"","","",187.1233,11.0325,186.2218,8.5748,4356.3537,-880.9952,1731.8300,-256.2420
81.67,"","","",187.1161,11.5750,186.2067,8.4161,4358.3338,-872.3861,1731.5530,-256.2420
81.70,"","","",187.1179,11.7559,186.1503,8.5748,4355.5215,-875.2558,1730.9297,-263.1674
81.73,"","","",187.1242,11.9368,186.1130,8.7336,4360.1847,-840.8195,1731.3106,-270.0929
81.77,"","","",187.1116,11.9368,186.1376,8.7336,4355.8659,-843.6892,1729.1983,-277.0184
81.80,"","","",187.0926,11.9368,186.1162,8.7336,4358.9221,-814.9923,1729.6485,-283.9438
81.83,"","","",187.0854,11.9368,186.0956,8.7336,4355.5502,-806.3832,1730.4103,-283.9438
81.87,"","","",187.1324,11.5750,186.0328,9.0512,4352.9818,-800.6438,1728.8521,-297.7947
81.90,"","","",187.1478,11.2133,186.0193,9.5276,4357.4585,-746.1197,1728.2634,-311.6456
81.93,"","","",187.1143,10.8516,185.9804,9.6864,4358.4629,-703.0743,1726.8437,-318.5711
81.97,"","","",187.0817,10.6707,185.9614,10.0040,4353.2688,-688.7259,1725.6317,-339.3475
82.00,"","","",187.0628,10.6707,185.9630,10.3216,4357.9751,-651.4199,1725.8395,-346.2729
82.03,"","","",187.0546,10.4899,185.9788,10.4804,4356.7985,-616.9836,1725.8049,-367.0493
82.07,"","","",187.0202,10.4899,185.9630,10.9567,4356.0524,-594.0261,1725.5971,-380.9002
82.10,"","","",186.9931,10.3090,186.0209,11.1155,4357.5159,-542.3716,1725.0084,-387.8257
82.13,"","","",186.9922,10.1282,186.0566,11.1155,4356.9707,-505.0656,1725.3201,-387.8257
82.17,"","","",186.9750,9.9473,185.9820,11.2743,4357.2003,-464.8900,1724.1774,-387.8257
82.20,"","","",186.9949,9.7664,185.9217,11.5919,4358.9795,-396.0174,1724.7314,-387.8257
82.23,"","","",186.9913,9.5856,185.9717,11.4331,4356.0524,-350.1023,1724.5237,-387.8257
82.27,"","","",186.9868,9.4047,185.9463,11.4331,4355.7367,-304.1873,1722.0651,-387.8257
82.30,"","","",186.9850,9.2239,185.8764,11.7507,4357.7312,-249.6631,1721.8573,-394.7512
